Class	Gene	Accession	Drug
beta-lactam	blaCMY-29_1	EF685371	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-30_1	EF685372	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-31_1	EU331425	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-32_1	EU496815	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-33_1	EU496816	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-34_1	EF394370	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-35_1	EF394371	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-36_1	EU331426	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-37_1	AB280919	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-38_1	AM931008	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-39_1	HM565135	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-40_1	EU515251	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-41_1	AB429270	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-42_1	HM146927	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-43_1	HQ267530	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-44_1	FJ437066	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-45_1	FN546177	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-46_1	FN556186	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-47_1	HM046998	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-48_1	HM569226	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-49_1	GQ402541	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-51_1	JQ733571	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-53_1	HQ336940	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-54_1	HM544039	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-55_1	HM544040	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-56_1	HQ322613	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-57_1	HQ285243	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-58_1	HQ185697	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-59_2	AB587082	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-60_1	JF460794	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-61_1	JF460795	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-62_1	JF460796	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-63_1	HQ650104	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-64_1	HQ832678	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-65_1	JF780936	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-66_1	JN714478	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-67_1	JQ711185	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-68_1	JN714480	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-69_1	JX049132	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-70_1	JX440350	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-71_1	JQ711184	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-72_1	JX440352	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-73_1	GQ351345	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-74_1	JX440349	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-75_1	JQ733572	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-76_1	JQ733573	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-77_1	JX440353	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-78_1	JQ733575	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-79_1	JQ733576	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-80_1	JQ733577	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-81_1	JQ733578	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-83_1	JX440351	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-84_1	JQ733579	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-87_1	AB699171	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-94_1	JX514368	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-95_1	JX514369	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-98_1	KC603538	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-99_1	KF305673	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-104_1	KF150216	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-110_1	AB872957	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCTX-M-1_6	DQ915955	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-1_4	AJ416342	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-2_1	EU622041	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-3_8	EF382672	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-3_2	EF437434	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-4_1	Y14156	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-5_8	AJ005045	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-5_6	AF286192	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-6_1	AJ005044	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-8_1	AF189721	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-9_7	AJ416345	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-9_1	AF174129	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-10_1	AY598759	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-11_1	AJ310929	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-12_1	DQ821704	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-13_2	AF252623	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-14_1	AF252622	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-14b_4	EU274579	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-14_5	AJ416341	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-14b_1	DQ359215	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-15_23	DQ302097	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-15_64	FJ815288	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-15_70	FJ815277	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-16_1	AY029068	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-17_1	AY033516	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-17_2	AF454633	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-19_1	AF325134	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-20_1	AJ416344	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-21_1	AJ416346	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-22_1	HM470254	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-22_3	EU376964	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-23_1	AF488377	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-24_1	EU921824	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-24_2	EF570050	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-24_8	EF374096	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-25_1	AF518567	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-26_1	AY455830	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-27_1	EU916273	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-28_6	AJ549244	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-29_1	AY267213	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-30_1	AY292654	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-31_1	AJ567481	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-32_2	AM420303	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-33_1	AY238472	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-34_1	AY515297	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-35_1	AB176534	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-36_1	AB177384	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-37_2	FN813246	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-38_1	AY822595	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-39_1	AY954516	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-40_1	AY750914	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-41_1	DQ023162	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-42_1	DQ061159	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-43_1	DQ102702	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-44_1	D37830	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-45_1	D89862	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-46_1	AY847147	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-47_1	AY847143	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-48_1	AY847144	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-49_1	AY847145	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-50_1	AY847146	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-51_1	DQ211987	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-52_1	GU125667	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-53_1	DQ268764	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-54_1	DQ303459	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-55_2	GQ456159	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-56_1	EF374097	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-58_1	EF210159	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-59_1	EU622856	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-60_1	AM411407	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-61_1	EF219142	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-62_1	EF219134	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-63_1	EU660216	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-64_1	GQ456156	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-65_2	GQ456158	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-65_11	FJ907380	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-66_1	EF576988	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-67_1	EF581888	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-68_1	EU177100	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-69_1	EU402393	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-71_1	FJ815436	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-72_1	AY847148	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-74_1	GQ149243	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-75_1	GQ149244	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-76_1	AM982520	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-77_1	AM982521	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-78_1	AM982522	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-79_1	GU125666	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-80_1	EU202673	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-81_1	EU136031	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-82_1	DQ256091	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-83_1	FJ214366	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-84_1	FJ214367	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-85_1	FJ214368	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-86_1	FJ214369	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-87_1	EU545409	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-88_1	FJ873739	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-89_1	FJ966096	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-89_2	FJ971899	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-90_1	FJ907381	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-91_1	GQ870432	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-92_1	GU127598	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-93_1	HQ166709	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-94_1	HM167760	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-95_1	FN813245	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-96_1	AJ704396	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-97_1	HM776707	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-98_1	HM755448	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-99_1	HM803271	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-100_1	FR682582	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-101_1	HQ398214	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-102_1	HQ398215	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-103_1	HG423149	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-104_1	HQ833652	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-105_1	HQ833651	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-106_1	HQ913565	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-110_1	JF274242	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-111_1	JF274243	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-112_1	JF274246	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-113_1	JF274247	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-114_1	GQ351346	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-116_1	JF966749	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-117_1	JN227085	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-121_1	JN790862	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-123_1	JN790864	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-124_1	JQ429324	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-125_1	JQ724542	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-126_1	AB703103	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-129_1	JX017364	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-130_1	JX017365	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-131_1	JN969893	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-132_1	JX313020	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-134_1	JX896165	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-136_1	KC351754	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-139_1	KC107824	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-142_1	KF240809	ampicillin,ceftriaxone
beta-lactam	blaCTX-M-147_1	KF513180	ampicillin,ceftriaxone
beta-lactam	blaDHA-1_1	Y16410	ampicillin,amoxicillin/clavulanic acid,cefoxitin
beta-lactam	blaDHA-2_1	AF259520	ampicillin,amoxicillin/clavulanic acid,cefoxitin
beta-lactam	blaDHA-3_1	AY494945	ampicillin,amoxicillin/clavulanic acid,cefoxitin
beta-lactam	blaDHA-5_1	JF273491	ampicillin,amoxicillin/clavulanic acid,cefoxitin
beta-lactam	blaDHA-6_1	HQ322612	ampicillin,amoxicillin/clavulanic acid,cefoxitin
beta-lactam	blaDHA-7_1	HQ456945	ampicillin,amoxicillin/clavulanic acid,cefoxitin
beta-lactam	blaFONA-6_1	AJ251244	ampicillin
beta-lactam	blaFONA-5_1	AJ251243	ampicillin
beta-lactam	blaFONA-4_1	AJ251242	ampicillin
beta-lactam	blaFONA-3_1	AJ251241	ampicillin
beta-lactam	blaFONA-2_1	AJ251240	ampicillin
beta-lactam	blaFONA-1_1	AJ251239	ampicillin
beta-lactam	blaFOX-1_1	X77455	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaFOX-2_1	Y10282	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaFOX-3_1	Y11068	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaFOX-4_1	AJ277535	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaFOX-5_1	AY007369	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaFOX-6_1	AY034848	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaFOX-7_1	AJ703796	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaFOX-8_1	HM565917	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaFOX-9_1	JF896803	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaFOX-10_1	JX049131	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaGOB-1_1	EF394442	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaGOB-1_2	AF090141	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaGOB-2_1	AF189296	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaGOB-3_1	AF189291	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaGOB-4_1	AF189293	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaGOB-5_1	AF189290	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaGOB-6_1	AF189292	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaGOB-7_1	AF189297	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaGOB-8_1	AY348327	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaGOB-9_1	AY647246	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaGOB-10_1	AY647247	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaGOB-11_1	AY647248	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaGOB-12_1	AY647249	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaGOB-13_1	AY647251	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaGOB-14_1	AY647252	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaGOB-15_1	AY775547	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaGOB-16_1	GU188443	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaGOB-16_2	AY899331	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaGOB-17_1	AY899332	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaGOB-18_1	DQ004496	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaHERA-1_1	AF311385	ampicillin
beta-lactam	blaHERA-2_1	AF398334	ampicillin
beta-lactam	blaHERA-3_1	AF398335	ampicillin
beta-lactam	blaHERA-4_1	AJ536088	ampicillin
beta-lactam	blaHERA-5_1	AJ536089	ampicillin
beta-lactam	blaHERA-6_1	AJ536090	ampicillin
beta-lactam	blaHERA-8_1	AJ536092	ampicillin
beta-lactam	blaIND-1_1	AF099139	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaIND-2_2	AF219127	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaIND-2a_4	AF219130	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaIND-2b_3	EF672681	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaIND-2c_1	GU186042	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaIND-3_1	AF219131	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaIND-4_1	AF219135	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaIND-5_1	AY504627	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaIND-6_1	AM087455	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaIND-7_1	AB529520	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaIND-8_1	GU186044	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaIND-9_1	GU186045	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaIND-10_1	GU206353	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaIND-11_1	HM245379	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaIND-12_1	HM245380	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaIND-14_1	HM367709	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaIND-15_1	AB563173	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaKPC-1_1	AF297554	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaKPC-2_1	AY034847	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaKPC-3_1	HM769262	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaKPC-4_1	FJ473382	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaKPC-5_1	EU400222	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaKPC-6_1	EU555534	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaKPC-7_1	EU729727	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaKPC-8_1	FJ234412	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaKPC-9_1	FJ624872	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaKPC-10_1	GQ140348	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaKPC-11_1	HM066995	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaKPC-12_1	HQ342889	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaKPC-13_1	HQ342890	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaKPC-14_1	JX524191	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaKPC-15_1	KC433553	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaKPC-16_1	KC465199	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaLEN1_1	X04515	ampicillin
beta-lactam	blaLEN2_1	AY037780	ampicillin
beta-lactam	blaLEN3_1	AY130286	ampicillin
beta-lactam	blaLEN4_1	AY130287	ampicillin
beta-lactam	blaLEN5_1	AY633109	ampicillin
beta-lactam	blaLEN7_1	AJ635425	ampicillin
beta-lactam	blaLEN8_1	AJ635424	ampicillin
beta-lactam	blaLEN9_1	AJ635405	ampicillin
beta-lactam	blaLEN10_1	AJ635419	ampicillin
beta-lactam	blaLEN12_1	AJ635406	ampicillin
beta-lactam	blaLEN13_1	AJ635403	ampicillin
beta-lactam	blaLEN15_1	AF452105	ampicillin
beta-lactam	blaLEN16_1	AY743416	ampicillin
beta-lactam	blaLEN17_1	EF205593	ampicillin
beta-lactam	blaLEN18_1	AM850908	ampicillin
beta-lactam	blaLEN19_1	AM850909	ampicillin
beta-lactam	blaLEN20_1	AM850910	ampicillin
beta-lactam	blaLEN21_1	AM850911	ampicillin
beta-lactam	blaLEN22_1	AM850912	ampicillin
beta-lactam	blaLEN23_1	AM850913	ampicillin
beta-lactam	blaLEN24_1	AM850914	ampicillin
beta-lactam	blaLEN25_1	HQ709169	ampicillin
beta-lactam	blaLEN26_1	JQ067123	ampicillin
